epoch,accuracy,loss,val_accuracy,val_loss
0,0.2886662483215332,1.992340326309204,0.4183467626571655,1.6811492443084717
1,0.4489668011665344,1.5744601488113403,0.5332661271095276,1.396560788154602
2,0.5407639145851135,1.3349553346633911,0.5453628897666931,1.3132869005203247
3,0.5794615149497986,1.2268832921981812,0.6139112710952759,1.1529457569122314
4,0.6156543493270874,1.1325138807296753,0.6300403475761414,1.0966469049453735
5,0.6370695233345032,1.0836855173110962,0.6431451439857483,1.0801575183868408
6,0.6654977798461914,1.0150526762008667,0.6653226017951965,1.008947730064392
7,0.6811521649360657,0.9594321846961975,0.6854838728904724,0.9639507532119751
8,0.6872886419296265,0.9295617341995239,0.6915322542190552,0.9269185662269592
9,0.7089542746543884,0.885776937007904,0.7026209831237793,0.9043272137641907
10,0.7294927835464478,0.8188795447349548,0.6955645084381104,0.906146228313446
11,0.7253600358963013,0.820469319820404,0.7278226017951965,0.8455806374549866
12,0.7470256686210632,0.7604371905326843,0.7056451439857483,0.8687610030174255
13,0.7671884894371033,0.7330617308616638,0.7247983813285828,0.8069707751274109
14,0.7740764021873474,0.6946226954460144,0.757056474685669,0.7611391544342041
15,0.7827175855636597,0.6724574565887451,0.7358871102333069,0.7781702280044556
16,0.7908578515052795,0.663237988948822,0.7409273982048035,0.7793094515800476
17,0.8020037412643433,0.6165381073951721,0.7590726017951965,0.7341594696044922
18,0.8112711310386658,0.5895294547080994,0.7520161271095276,0.7423571944236755
19,0.8167814612388611,0.5691654682159424,0.7721773982048035,0.7172160744667053
20,0.8222917914390564,0.5631162524223328,0.7620967626571655,0.6954512596130371
21,0.8225422501564026,0.5577488541603088,0.7631048560142517,0.7068387269973755
22,0.8242955803871155,0.5550234317779541,0.7893145084381104,0.6593796610832214
23,0.8440826535224915,0.5024254322052002,0.7651209831237793,0.6952625513076782
24,0.8494677543640137,0.47594591975212097,0.7802419066429138,0.6842871308326721
25,0.8487163186073303,0.49320095777511597,0.7832661271095276,0.665215790271759
26,0.8447088003158569,0.49071407318115234,0.7862903475761414,0.659504234790802
27,0.8568565845489502,0.45421281456947327,0.7641128897666931,0.7106634974479675
28,0.8564808964729309,0.4614085257053375,0.774193525314331,0.6729229688644409
29,0.8666249513626099,0.43719950318336487,0.7963709831237793,0.6225113868713379
30,0.8696305751800537,0.42543885111808777,0.7943548560142517,0.6263748407363892
31,0.8693801164627075,0.4306717813014984,0.7993951439857483,0.6349486708641052
32,0.8745146989822388,0.40175995230674744,0.7953628897666931,0.6215368509292603
33,0.8758922815322876,0.3988117575645447,0.7842742204666138,0.6121534705162048
34,0.8730118870735168,0.40881145000457764,0.8044354915618896,0.6231194138526917
35,0.8673763275146484,0.4268823564052582,0.7872983813285828,0.6233413815498352
36,0.8852849006652832,0.3767642676830292,0.8125,0.5808693766593933
37,0.8846587538719177,0.37847375869750977,0.7903226017951965,0.628753662109375
38,0.8819035887718201,0.3733828067779541,0.8135080933570862,0.5852119326591492
39,0.8960551023483276,0.35362234711647034,0.8084677457809448,0.5733746290206909
40,0.8887915015220642,0.3704320192337036,0.7963709831237793,0.6072561144828796
41,0.888165295124054,0.37189480662345886,0.7983871102333069,0.620482861995697
42,0.903193473815918,0.32447394728660583,0.8084677457809448,0.5893183946609497
43,0.8979336023330688,0.34090086817741394,0.8104838728904724,0.59133380651474
44,0.8999373912811279,0.3198295533657074,0.8225806355476379,0.5518375039100647
45,0.8983093500137329,0.3299867510795593,0.8205645084381104,0.5641902089118958
46,0.8969317674636841,0.3324894905090332,0.8175403475761414,0.5577197670936584
47,0.9003130793571472,0.3338904082775116,0.8225806355476379,0.5534222722053528
48,0.9040701389312744,0.3193548321723938,0.8245967626571655,0.5345935225486755
49,0.9077019691467285,0.31300756335258484,0.8155242204666138,0.5413433313369751
50,0.9045710563659668,0.31229740381240845,0.819556474685669,0.5402560830116272
51,0.9064496159553528,0.31441959738731384,0.8256048560142517,0.5392284989356995
52,0.9070757627487183,0.31043267250061035,0.8296371102333069,0.534095048904419
53,0.9105823636054993,0.30307134985923767,0.8286290168762207,0.5325084924697876
54,0.913087010383606,0.29305288195610046,0.8326612710952759,0.5444490313529968
55,0.9070757627487183,0.3040527105331421,0.8356854915618896,0.5236485004425049
56,0.9147151112556458,0.29223358631134033,0.8286290168762207,0.5366502404212952
57,0.9043205976486206,0.31481531262397766,0.8266128897666931,0.5372527837753296
58,0.9128365516662598,0.2972795367240906,0.819556474685669,0.5516196489334106
59,0.9174702763557434,0.28569477796554565,0.8286290168762207,0.5249658226966858
60,0.9160926938056946,0.28222760558128357,0.8326612710952759,0.5143304467201233
61,0.9113337397575378,0.2892667055130005,0.8346773982048035,0.5145121216773987
62,0.9109580516815186,0.3022598624229431,0.8387096524238586,0.5110387802124023
63,0.9135879874229431,0.2890051305294037,0.8346773982048035,0.5090586543083191
64,0.9095804691314697,0.2934596836566925,0.8377016186714172,0.510022759437561
65,0.9159674644470215,0.27310290932655334,0.8336693644523621,0.5151092410087585
66,0.9234815239906311,0.27275076508522034,0.8336693644523621,0.5283417105674744
